Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Israel,2014,7.400570393,10.36413765,0.889069736,72.63999939,0.706974626,0.091592588,0.818039954,0.604293108,0.271255702,0.443641841,-0.15607816,1.100101471,1.580246329,0.213530347
Israel,2015,7.07941103,10.37425232,0.864130199,72.69999695,0.752783954,0.105966061,0.789429903,0.696547687,0.256258249,0.405343235,-0.175023496,1.19148016,1.779918075,0.251421779
Israel,2016,7.159010887,10.39477539,0.889660776,72.90000153,0.772297323,0.15050979,0.804056585,0.629189372,0.263090223,0.43813318,-0.003985524,1.229350686,1.66659677,0.232797071
Israel,2017,7.331036091,10.40826416,0.916440845,73.09999847,0.768076301,0.142772496,0.792652249,0.673591316,0.276443154,0.389368147,-0.091396242,1.126434684,1.522682905,0.20770365
Israel,2018,6.92717886,10.4245739,0.90959543,73.30000305,0.724662304,0.052549962,0.770134807,0.66348964,0.28206256,0.422329724,,,1.734907031,0.2504493
United Arab Emirates,2014,6.539854527,11.06575012,,66.48000336,,,,,,,-0.146229833,1.070845127,2.150110722,0.328770429
United Arab Emirates,2015,6.568397522,11.10599995,0.824136674,66.5,0.915036201,0.183357775,,0.760500371,0.295732975,,-0.176411241,1.083431005,2.088929892,0.318027318
United Arab Emirates,2016,6.83095026,11.12292957,0.849379838,66.69999695,0.949119508,0.113445699,,0.775128484,0.244667903,,-0.242814034,1.097958803,2.145559549,0.314093858
United Arab Emirates,2017,7.039419651,11.11681843,0.83552736,66.90000153,0.962016642,0.199402541,,0.795034885,0.207598448,,-0.234493166,1.085547447,2.030040741,0.288381845
United Arab Emirates,2018,6.603743553,11.12767792,0.851041317,67.09999847,0.943664372,0.036494225,,0.787243485,0.302041829,,,,2.214761972,0.335379779
Singapore,2014,7.062364578,11.30101299,0.822033048,75.68000031,0.834887624,0.143033519,0.132603154,0.841017604,0.180232763,0.843872547,0.543806016,2.078053713,1.428702831,0.20229809
Singapore,2015,6.619524956,11.31131172,0.86643666,75.90000153,0.886890888,0.139111534,0.098943882,0.803123772,0.141585171,0.90855819,0.574965596,2.100870132,1.609131813,0.243088707
Singapore,2016,6.033480644,11.3220253,0.925128222,76.19999695,0.903735638,0.132903278,0.047311153,0.823988736,0.110942468,0.930617273,0.672654569,2.071428776,1.302087903,0.215810403
Singapore,2017,6.378437996,11.35668564,0.897349894,76.5,0.926127851,0.125963226,0.161790684,0.800114393,0.179324552,0.92699796,0.708121538,2.069170475,1.418072224,0.222322807
Singapore,2018,6.374564171,,0.902840674,76.80000305,0.91607821,,0.096562929,0.787092984,0.106870778,0.892469287,,,1.577076435,0.247401446
Thailand,2014,6.985463619,9.606240273,0.933167398,66.37999725,0.899846315,0.545570731,0.919834435,0.811369598,0.16873844,0.720304966,-0.890584469,-0.007606622,2.000872374,0.286433727
Thailand,2015,6.201762676,9.632480621,0.866324544,66.59999847,0.884916544,0.308959126,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.777929306,0.286681294
Thailand,2016,6.07363987,9.661786079,0.907543659,66.80000305,0.924145699,0.348688185,0.877978384,0.834758341,0.217879668,0.645925045,-1.006826162,0.028992694,2.232674599,0.367600769
